指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,1126,1126
期末净值,final_nav,1.1705966693751002,1.057396212594268
累计收益率,total_return,0.1705966693751002,0.05739621259426797
年化收益率,annual_return,0.035912877010990885,0.012579792390476463
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.021912877010990886,-0.0014202076095235373
年化波动率,annual_volatility,0.012846389946711423,0.01459188649788903
夏普比率,sharpe,1.70576147087925,-0.09732858117618959
最大回撤,max_drawdown,-0.007339761995066252,-0.020108495709189933
最大回撤起点,max_drawdown_start,2024-08-01,2022-01-20
最大回撤终点,max_drawdown_end,2024-08-12,2022-05-16
Calmar比率,calmar,4.89292119214919,0.6255958960036617
日胜率_参考,win_rate,0.2682060390763766,0.23090586145648312
调仓周期数,signal_period_count,1107,1107
盈利调仓周期数,winning_signal_periods,295,255
调仓周期胜率,signal_period_win_rate,0.26648599819331525,0.23035230352303523
单周期平均收益,avg_signal_period_return,0.00014263194327805405,5.084244848527045e-05
累计资本利得_BP,capital_gain_total_bp,130.09000000000577,17.269999999998156
年化资本利得_BP,capital_gain_annualized_bp,29.140160000001295,3.868479999999587
资本利得交易笔数,capital_gain_trade_count,139,139
已平仓交易笔数,capital_gain_closed_trade_count,138,138
资本利得盈利笔数,capital_gain_winning_trades,87,65
资本利得亏损笔数,capital_gain_losing_trades,45,69
资本利得持平笔数,capital_gain_flat_trades,6,4
资本利得交易胜率,capital_gain_trade_win_rate,0.6304347826086957,0.47101449275362317
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.935724637681201,0.11181159420288513
资本利得中位数_BP,capital_gain_median_trade_bp,0.3249999999999955,-0.005000000000490723
平均每笔盈利_BP,capital_gain_avg_win_bp,2.371264367816091,2.614153846153801
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.7148888888887595,-2.2389855072463614
资本利得盈亏比,capital_gain_profit_loss_ratio,1.3827510243842445,1.16756175405925
最佳交易_BP,capital_gain_best_trade_bp,15.779999999999994,14.750000000000005
最差交易_BP,capital_gain_worst_trade_bp,-8.779999999998996,-11.320000000000011
平均每笔持有交易日,capital_gain_avg_holding_days,3.316546762589928,3.316546762589928
最长单笔持有交易日,capital_gain_max_holding_days,28,28
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-8.779999999998992,-28.48999999999883
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-08-01,2022-01-20
资本利得最大回撤终点,capital_gain_max_drawdown_end,2024-08-12,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,4,6
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.9600000000000233,1.8400000000000014
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
