实验编号,实验阶段,调整模块,候选参数,供给低分位,供给高分位,需求低分位,需求高分位,地方债国债利差低分位,地方债国债利差高分位,地方债NCD利差低分位,地方债NCD利差高分位,利差周变化阈值_BP,看空总分阈值,看空最少利空模块数,看空要求供给或需求利空,看空连续确认周期数,目标函数,策略累计收益率,基准累计收益率,累计超额收益率,策略年化收益率,策略夏普比率,策略最大回撤,累计资本利得_BP,基准累计资本利得_BP,资本利得超额_BP,资本利得交易胜率,开仓交易总数,已平仓交易数,平均单笔资本利得_BP,平均每笔盈利_BP,最佳交易_BP,最差交易_BP,资本利得最大回撤_BP,未平仓交易数,未平仓浮动资本利得_BP,调仓周期胜率,看空信号数,相对基线变化信号数,策略Carry贡献,策略资本利得贡献,最新总分,最新仓位
看空<25_至少2个模块且包含供需利空,看空触发条件,总分与确认规则,至少2个模块且包含供需利空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,25.0,2,1,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,110,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<25_连续2天看空,看空触发条件,总分与确认规则,连续2天看空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,25.0,0,0,2,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,75,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<30_仅总分,看空触发条件,总分与确认规则,仅总分,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,30.0,0,0,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,151,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<30_至少2个模块利空,看空触发条件,总分与确认规则,至少2个模块利空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,30.0,2,0,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,150,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<30_必须包含供给或需求利空,看空触发条件,总分与确认规则,必须包含供给或需求利空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,30.0,0,1,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,145,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<30_至少2个模块且包含供需利空,看空触发条件,总分与确认规则,至少2个模块且包含供需利空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,30.0,2,1,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,145,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<30_连续2天看空,看空触发条件,总分与确认规则,连续2天看空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,30.0,0,0,2,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,107,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<35_仅总分,看空触发条件,总分与确认规则,仅总分,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,35.0,0,0,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,207,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<35_至少2个模块利空,看空触发条件,总分与确认规则,至少2个模块利空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,35.0,2,0,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,201,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<35_必须包含供给或需求利空,看空触发条件,总分与确认规则,必须包含供给或需求利空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,35.0,0,1,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,185,9,0.020587992063492055,0.08895378139610073,87.5,1.0
