指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,1124,1124
期末净值,final_nav,1.172125180303088,1.1102793650643836
累计收益率,total_return,0.1721251803030881,0.11027936506438363
年化收益率,annual_return,0.036281370880484776,0.02375244616005623
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.022281370880484777,0.009752446160056228
年化波动率,annual_volatility,0.012908753942079207,0.014290273682107295
夏普比率,sharpe,1.726066743580359,0.6824534209073383
最大回撤,max_drawdown,-0.009351072484270695,-0.011872096193791704
最大回撤起点,max_drawdown_start,2025-02-13,2025-09-03
最大回撤终点,max_drawdown_end,2025-03-25,2026-04-01
Calmar比率,calmar,3.8799154793755637,2.0006952245280103
日胜率_参考,win_rate,0.2624555160142349,0.23665480427046262
调仓周期数,signal_period_count,227,227
盈利调仓周期数,winning_signal_periods,75,64
调仓周期胜率,signal_period_win_rate,0.3303964757709251,0.28193832599118945
单周期平均收益,avg_signal_period_return,0.0007017959961973088,0.0004628950119587902
累计资本利得_BP,capital_gain_total_bp,133.710000000002,75.17000000000108
年化资本利得_BP,capital_gain_annualized_bp,30.004381121995102,16.868067675868453
资本利得交易笔数,capital_gain_trade_count,48,48
已平仓交易笔数,capital_gain_closed_trade_count,47,47
资本利得盈利笔数,capital_gain_winning_trades,34,28
资本利得亏损笔数,capital_gain_losing_trades,12,18
资本利得持平笔数,capital_gain_flat_trades,1,1
资本利得交易胜率,capital_gain_trade_win_rate,0.723404255319149,0.5957446808510638
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.818297872340468,1.5685106382978955
资本利得中位数_BP,capital_gain_median_trade_bp,2.7699999999999942,1.13000000000002
平均每笔盈利_BP,capital_gain_avg_win_bp,4.7650000000000565,4.567142857142965
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.4624999999999964,-3.0088888888889973
资本利得盈亏比,capital_gain_profit_loss_ratio,1.9350253807106856,1.5178835197298821
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000017,18.899999999999995
最差交易_BP,capital_gain_worst_trade_bp,-6.789999999998984,-9.010000000000996
平均每笔持有交易日,capital_gain_avg_holding_days,9.416666666666666,9.416666666666666
最长单笔持有交易日,capital_gain_max_holding_days,30,30
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-11.02999999999902,-18.249999999997982
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-02-13,2025-09-03
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-25,2026-07-28
最长连续亏损笔数,capital_gain_longest_losing_streak,4,3
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,1.250000000000001,1.4499999999999933
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
