supply_amount,supply_ratio,supply_long,fly_penalty,bank_demand,spread_gov,spread_change,spread_ncd,nonbank_sentiment,objective,strategy_total_return,benchmark_total_return,excess_total_return,strategy_final_nav,benchmark_final_nav,strategy_annual_return,strategy_max_drawdown,strategy_sharpe,signal_period_win_rate,capital_gain_total_bp,benchmark_capital_gain_bp,capital_gain_excess_bp,capital_trade_win_rate,capital_gain_trade_count,capital_gain_closed_trade_count,capital_gain_avg_trade_bp,capital_gain_avg_win_bp,capital_gain_best_trade_bp,capital_gain_worst_trade_bp,capital_gain_open_trade_count,capital_gain_open_trade_bp,capital_gain_max_drawdown_bp,latest_score,latest_conclusion,latest_position
20.0,15.0,5.0,0.0,10.0,10.0,10.0,5.0,25.0,165.04842105262148,0.10193731842478182,0.052673549253844376,0.049263769170937444,1.1019373184247818,1.0526735492538444,0.029728654934028986,-0.005768900595631399,1.5436709886106839,0.14981729598051158,88.6999999999959,37.46000000000106,51.239999999994836,0.7368421052631579,58,57,1.5649122807016833,2.7492857142856204,15.530000000000022,-5.4700000000009945,1,-0.5000000000000143,-9.809999999998984,87.5,看多,1.0
15.0,20.0,5.0,0.0,10.0,10.0,15.0,0.0,25.0,164.9036969696947,0.10071684274408765,0.049169563463627775,0.05154727928045988,1.1007168427440877,1.0491695634636278,0.029384323161904646,-0.005754361509499817,1.4413325503794439,0.1559074299634592,86.86999999999992,33.180000000002096,53.68999999999782,0.696969696969697,67,66,1.323787878787878,2.6486956521738936,15.800000000000015,-5.4700000000009945,1,-0.5000000000000143,-9.809999999998988,87.5,看多,1.0
20.0,10.0,10.0,0.0,10.0,15.0,10.0,0.0,25.0,164.09072727272408,0.10143631677888543,0.05334565645643363,0.048090660322451795,1.1014363167788854,1.0533456564564336,0.029587339997128925,-0.005768900595631399,1.3577422560829457,0.1425091352009744,89.04000000000082,39.07000000000499,49.96999999999583,0.7272727272727273,56,55,1.6280000000000148,3.0607499999999748,14.770000000000024,-5.889999999999993,1,-0.5000000000000143,-7.400000000000045,87.5,看多,1.0
20.0,20.0,0.0,0.0,10.0,10.0,15.0,0.0,25.0,163.90914285713947,0.10012201281748379,0.04953490058681309,0.050587112230670694,1.1001220128174838,1.049534900586813,0.029216407671204925,-0.006121997923733913,1.3489591911783143,0.15225334957369063,86.85999999999987,34.04000000000312,52.81999999999675,0.6857142857142857,71,70,1.2479999999999989,2.6883333333333344,16.450000000000006,-5.889999999999993,1,-0.5000000000000143,-8.459999999999026,87.5,看多,1.0
15.0,15.0,10.0,0.0,10.0,10.0,10.0,5.0,25.0,162.39298245613145,0.10067059192260053,0.051762200541522585,0.04890839138107794,1.1006705919226005,1.0517622005415226,0.029371269215511475,-0.007120920482015403,1.4976582074068305,0.15225334957369063,86.94999999999689,36.09000000000206,50.859999999994834,0.7192982456140351,58,57,1.534210526315736,2.8299999999999286,14.770000000000024,-5.4700000000009945,1,-0.5000000000000143,-12.299999999998978,87.5,看多,1.0
15.0,15.0,10.0,0.0,10.0,15.0,10.0,0.0,25.0,162.15622222221668,0.09434331398279272,0.040654127724882194,0.053689186257910526,1.0943433139827927,1.0406541277248822,0.02758182080450733,-0.005768900595631399,1.311654610699526,0.14129110840438489,82.21999999999883,25.950000000002984,56.26999999999585,0.7222222222222222,55,54,1.5318518518518314,2.8492307692306937,14.770000000000024,-5.4700000000009945,1,-0.5000000000000143,-8.669999999998016,87.5,看多,1.0
10.0,20.0,10.0,0.0,10.0,15.0,10.0,0.0,25.0,161.78179310344188,0.09877572250213573,0.04834136156148894,0.050434360940646794,1.0987757225021357,1.048341361561489,0.028836126992063837,-0.005768900595631399,1.3993971941014107,0.15347137637028013,85.039999999998,32.72000000000201,52.31999999999599,0.7413793103448276,59,58,1.474827586206862,2.701860465116212,14.770000000000024,-5.4700000000009945,1,-0.5000000000000143,-9.559999999998976,87.5,看多,1.0
20.0,20.0,0.0,0.0,10.0,15.0,10.0,0.0,25.0,161.3881355932147,0.10001038905834991,0.05262532333998715,0.04738506571836276,1.10001038905835,1.0526253233399872,0.02918489015827208,-0.005768900595631399,1.4113875612889522,0.14494518879415347,87.44999999999885,38.290000000003104,49.15999999999575,0.7288135593220338,60,59,1.4906779661016765,2.792093023255768,16.450000000000006,-5.6999999999990045,1,-0.5000000000000143,-8.209999999999017,87.5,看多,1.0
10.0,15.0,15.0,0.0,10.0,10.0,15.0,0.0,25.0,160.48318032786122,0.10542845369702558,0.06269551351860869,0.04273294017841689,1.1054284536970256,1.0626955135186087,0.03071213804621853,-0.0071209204820150696,1.5966847367867947,0.15712545676004872,91.11999999999702,47.03000000000106,44.08999999999596,0.7049180327868853,62,61,1.5019672131147057,2.8034883720929797,14.770000000000024,-5.4700000000009945,1,-0.5000000000000143,-12.299999999998983,87.5,看多,1.0
20.0,20.0,0.0,0.0,10.0,20.0,10.0,0.0,20.0,158.78718032786037,0.10379658707127537,0.06486097716784478,0.03893560990343059,1.1037965870712754,1.0648609771678448,0.030252697391378147,-0.006121997923733691,1.5049977534181331,0.13885505481120586,92.9899999999989,52.84000000000604,40.14999999999286,0.7049180327868853,62,61,1.5326229508196547,2.914418604651094,16.450000000000006,-5.6999999999990045,1,-0.5000000000000143,-7.889999999997066,85.0,看多,1.0
20.0,20.0,0.0,0.0,10.0,10.0,20.0,0.0,20.0,158.77692537313422,0.09501400081374589,0.04286283602880636,0.05215116478493953,1.095014000813746,1.0428628360288064,0.02777184275496758,-0.007117386568018524,1.2410169907191833,0.1559074299634592,81.11000000000092,26.68000000000215,54.42999999999877,0.7014925373134329,68,67,1.2180597014925512,2.5661702127659995,16.450000000000006,-5.889999999999993,1,-0.5000000000000143,-9.570000000000064,85.0,看多,1.0
20.0,20.0,0.0,0.0,10.0,10.0,10.0,5.0,25.0,158.36933333332763,0.09400636494527781,0.04152597562174942,0.05248038932352839,1.0940063649452778,1.0415259756217494,0.02748632422938191,-0.005768900595631399,1.2837199642591595,0.14859926918392205,80.52999999999881,25.630000000003072,54.899999999995735,0.6833333333333333,61,60,1.3504999999999812,2.7885365853658057,15.800000000000015,-5.4700000000009945,1,-0.5000000000000143,-9.809999999998984,87.5,看多,1.0
20.0,15.0,5.0,0.0,10.0,15.0,10.0,0.0,25.0,157.73898245613898,0.0928821501906314,0.04221912739660594,0.05066302279402546,1.0928821501906314,1.042219127396606,0.027167555721393732,-0.005768900595631399,1.2843498661496104,0.13763702801461633,81.28000000000074,28.270000000003012,53.00999999999773,0.7192982456140351,58,57,1.4347368421052769,2.715609756097535,14.770000000000024,-5.4700000000009945,1,-0.5000000000000143,-7.400000000000045,87.5,看多,1.0
15.0,20.0,5.0,0.0,10.0,10.0,5.0,10.0,25.0,156.85307692306813,0.09498400223633818,0.045185959642452644,0.04979804259388554,1.0949840022363382,1.0451859596424526,0.027763345162046482,-0.005768900595631399,1.3798432680590789,0.14738124238733252,81.49999999999694,29.37000000000206,52.12999999999488,0.6923076923076923,53,52,1.5769230769230185,2.9838888888888353,15.800000000000015,-5.4700000000009945,1,-0.5000000000000143,-9.47,87.5,看多,1.0
10.0,20.0,10.0,0.0,10.0,10.0,10.0,5.0,25.0,156.71028571427888,0.0985557285803127,0.05160245944547159,0.0469532691348411,1.0985557285803127,1.0516024594454716,0.028773955361753423,-0.007120920482015403,1.4521349605489975,0.15468940316686966,84.12999999999695,35.34000000000014,48.789999999996816,0.6964285714285714,57,56,1.5112499999999456,2.8941025641025138,15.800000000000015,-5.4700000000009945,1,-0.5000000000000143,-11.959999999999996,87.5,看多,1.0
20.0,15.0,5.0,0.0,10.0,10.0,5.0,10.0,25.0,156.61713207546288,0.09282231186988033,0.041963064946621165,0.05085924692325916,1.0928223118698803,1.0419630649466212,0.027150582287059688,-0.005768900595631399,1.3237434667314172,0.14129110840438489,80.12999999999691,26.65000000000202,53.47999999999489,0.6981132075471698,54,53,1.5213207547169232,2.8429729729729205,15.800000000000015,-5.4700000000009945,1,-0.5000000000000143,-8.690000000000017,87.5,看多,1.0
