交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-17,2022-01-21,2022-01-21,多头,1.0,1.0,5,8.139999999999988,7.600000000000003,0.5399999999999849,是,是,已平仓
2,2022-02-14,2022-02-18,2022-02-18,多头,1.0,1.0,5,-2.2799999999999905,-0.8400000000000077,-1.4399999999999826,否,是,已平仓
3,2022-04-11,2022-04-15,2022-04-15,多头,1.0,1.0,5,0.7700000000000071,-0.49000000000097554,1.2600000000009826,是,是,已平仓
4,2022-05-05,2022-05-06,2022-05-06,多头,1.0,1.0,2,5.5899999999999705,1.13000000000002,4.45999999999995,是,是,已平仓
5,2022-05-16,2022-05-20,2022-05-20,多头,1.0,1.0,5,4.110000000000988,2.399999999999972,1.710000000001016,是,是,已平仓
6,2022-07-04,2022-08-12,2022-08-12,多头,1.0,1.0,30,13.930000000000991,9.07999999999999,4.8500000000010015,是,是,已平仓
7,2022-08-29,2022-09-16,2022-09-16,多头,1.0,1.0,14,2.459999999998992,-3.000000000000016,5.459999999999008,是,是,已平仓
8,2022-09-26,2022-10-28,2022-10-28,多头,1.0,1.0,20,0.7499999999990148,1.4900000000010054,-0.7400000000019906,是,是,已平仓
9,2022-11-07,2022-11-11,2022-11-11,多头,1.0,1.0,5,-1.7499999999999805,-3.3100000000000143,1.5600000000000338,否,是,已平仓
10,2023-02-27,2023-03-17,2023-03-17,多头,1.0,1.0,15,1.6100000000000148,5.240000000000002,-3.6299999999999875,是,是,已平仓
11,2023-04-10,2023-04-21,2023-04-21,多头,1.0,1.0,10,2.7699999999999942,2.060000000000013,0.7099999999999813,是,是,已平仓
12,2023-05-04,2023-05-19,2023-05-19,多头,1.0,1.0,12,7.520000000000998,6.369999999999986,1.150000000001012,是,是,已平仓
13,2023-05-29,2023-06-16,2023-06-16,多头,1.0,1.0,15,3.040000000000994,5.790000000001003,-2.750000000000009,是,是,已平仓
14,2023-07-10,2023-07-14,2023-07-14,多头,1.0,1.0,5,4.409999999998998,-0.40999999999999365,4.819999999998992,是,是,已平仓
15,2023-08-07,2023-08-18,2023-08-18,多头,1.0,1.0,10,10.800000000000011,8.30000000000001,2.5000000000000018,是,是,已平仓
16,2023-09-04,2023-09-08,2023-09-08,多头,1.0,1.0,5,-6.789999999998984,-5.250000000000983,-1.5399999999980007,否,是,已平仓
17,2023-11-13,2023-12-01,2023-12-01,多头,1.0,1.0,15,3.3000000000000047,-1.8100000000000058,5.11000000000001,是,是,已平仓
18,2023-12-11,2024-01-05,2024-01-05,多头,1.0,1.0,19,15.800000000000017,14.610000000000005,1.190000000000012,是,是,已平仓
19,2024-02-05,2024-02-23,2024-02-23,多头,1.0,1.0,9,6.999999999999992,2.3499999999990195,4.650000000000972,是,是,已平仓
20,2024-03-04,2024-03-15,2024-03-15,多头,1.0,1.0,10,6.02000000000099,4.75000000000003,1.2700000000009597,是,是,已平仓
21,2024-04-08,2024-04-26,2024-04-26,多头,1.0,1.0,15,5.2899999999990115,-3.1799999999999886,8.469999999999,是,是,已平仓
22,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,0.4499999999989923,2.7000000000020075,是,是,已平仓
23,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.7500000000009805,0.07999999999903906,是,是,已平仓
24,2024-06-24,2024-06-28,2024-06-28,多头,1.0,1.0,5,3.1700000000000133,5.129999999998989,-1.959999999998976,是,是,已平仓
25,2024-07-15,2024-07-17,2024-07-17,多头,1.0,1.0,3,-1.0399999999999991,0.06000000000099667,-1.1000000000009957,否,是,已平仓
26,2024-07-22,2024-07-26,2024-07-26,多头,1.0,1.0,5,3.9800000000009974,6.700000000000976,-2.719999999999979,是,是,已平仓
27,2024-08-05,2024-08-16,2024-08-16,多头,1.0,1.0,10,-2.9399999999999915,-7.010000000000002,4.07000000000001,否,是,已平仓
28,2024-10-18,2024-10-18,2024-10-18,多头,1.0,1.0,1,0.0,0.0,0.0,否,是,已平仓
29,2024-11-04,2024-11-15,2024-11-15,多头,1.0,1.0,10,5.099999999998994,4.580000000000002,0.5199999999989924,是,是,已平仓
30,2025-01-06,2025-01-10,2025-01-10,多头,1.0,1.0,5,-0.7499999999999867,-2.9699999999999864,2.2199999999999998,否,是,已平仓
31,2025-02-10,2025-02-14,2025-02-14,多头,1.0,1.0,5,0.44999999999999907,-5.140000000000006,5.590000000000005,是,是,已平仓
32,2025-03-31,2025-05-16,2025-05-16,多头,1.0,1.0,31,19.28999999999896,13.040000000000033,6.249999999998929,是,是,已平仓
33,2025-05-26,2025-06-06,2025-06-06,多头,1.0,1.0,9,0.7499999999999868,6.610000000000019,-5.860000000000032,是,是,已平仓
34,2025-06-16,2025-06-20,2025-06-20,多头,1.0,1.0,5,1.7100000000000104,0.439999999999989,1.2700000000000213,是,是,已平仓
35,2025-06-30,2025-07-04,2025-07-04,多头,1.0,1.0,5,2.7500000000000098,0.2900000000000125,2.4599999999999973,是,是,已平仓
36,2025-07-14,2025-07-18,2025-07-18,多头,1.0,1.0,5,1.0799999999999699,0.23000000000002177,0.8499999999999481,是,是,已平仓
37,2025-08-04,2025-08-08,2025-08-08,多头,1.0,1.0,5,-0.2100000000000016,1.6800000000000148,-1.8900000000000163,否,是,已平仓
38,2025-09-01,2025-09-05,2025-09-05,多头,1.0,1.0,5,0.47999999999902343,1.1900000000000106,-0.7100000000009872,是,是,已平仓
39,2025-09-22,2025-09-26,2025-09-26,多头,1.0,1.0,5,-1.770000000000001,0.2100000000000024,-1.9800000000000033,否,是,已平仓
40,2025-10-09,2025-10-10,2025-10-10,多头,1.0,1.0,2,-0.9200000000009896,1.4499999999999929,-2.3700000000009824,否,是,已平仓
41,2025-11-03,2025-11-14,2025-11-14,多头,1.0,1.0,10,3.6399999999999983,-1.8599999999999868,5.499999999999985,是,是,已平仓
42,2025-12-29,2026-01-09,2026-01-09,多头,1.0,1.0,8,-3.4700000000000015,-4.060000000000002,0.5900000000000007,否,是,已平仓
43,2026-02-09,2026-02-27,2026-02-27,多头,1.0,1.0,9,-0.35999999999900717,2.2499999999999956,-2.609999999999003,否,是,已平仓
44,2026-03-09,2026-03-13,2026-03-13,多头,1.0,1.0,5,-0.09999999999999631,-3.3299999999999996,3.230000000000003,否,是,已平仓
45,2026-03-30,2026-05-08,2026-05-08,多头,1.0,1.0,26,6.85999999999902,3.3500000000009917,3.509999999998028,是,是,已平仓
46,2026-05-18,2026-05-22,2026-05-22,多头,1.0,1.0,5,1.7400000000000053,1.3900000000000023,0.350000000000003,是,是,已平仓
47,2026-06-01,2026-06-12,2026-06-12,多头,1.0,1.0,10,-1.9500000000000068,-3.3699999999989987,1.4199999999989918,否,是,已平仓
48,2026-06-22,2026-07-03,2026-07-03,多头,1.0,1.0,10,0.6500000000009973,-1.640000000000009,2.2900000000010063,是,是,已平仓
