信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,情绪|非银情绪_得分,情绪|非银情绪变化_得分
2022-01-13,2022-01-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,50.0
2022-01-14,2022-01-17,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-01-17,2022-01-18,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-01-18,2022-01-19,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-01-19,2022-01-20,1.0,看多,0.001438718256109528,0.00098181840565581,0.00045689985045371806,0.00012266269841269841,0.0013160555576967568,1.5500000000000236,1.0100000000009755,0.5399999999990481,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-01-20,2022-01-21,1.0,看多,0.003945871365900411,0.00048026727828265336,0.0034656040876177574,0.00012204761904761904,0.003823823746852832,4.49999999999999,0.42999999999900756,4.070000000000983,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-01-21,2022-01-24,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-01-24,2022-01-25,1.0,看多,0.0034662632464030896,0.0031291296212809794,0.0003371336251221102,0.00012060714285714286,0.003345656103545949,3.93000000000001,3.489999999999986,0.4400000000000239,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-01-25,2022-01-26,1.0,看多,0.00011904761904757422,-0.0018713812579201905,0.0019904288769677647,0.00011904761904761905,0.0,0.0,-2.2799999999999905,2.2799999999999905,否,其他,否,否,其他,0.0,100.0
2022-01-26,2022-01-27,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-01-27,2022-01-28,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-01-28,2022-02-07,1.0,看多,0.0010060566023295525,0.0029360353060963185,-0.001929978703766766,0.0001199920634920635,0.0008860645388375815,1.0400000000010055,3.269999999999003,-2.2299999999979976,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-02-07,2022-02-08,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-02-08,2022-02-09,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-02-09,2022-02-10,1.0,看多,0.0016533149487414356,-0.0007658287001727215,0.002419143648914157,0.00012025,0.0015330649487413329,1.799999999999996,-1.010000000000004,2.81,是,其他,否,否,其他,0.0,100.0
2022-02-10,2022-02-11,1.0,看多,8.543631118018702e-05,0.00010844444444435553,-2.3008133264168507e-05,0.00011953571428571429,-3.4099403105600515e-05,-0.04000000000000531,0.0,-0.04000000000000531,否,其他,是,否,有效进攻,0.0,100.0
2022-02-11,2022-02-14,1.0,看多,-0.004603119365178099,-0.004760217762742713,0.00015709839756461452,0.00011955158730158731,-0.004722670952479685,-5.539999999999989,-5.629999999999975,0.08999999999998565,否,其他,否,是,其他,0.0,100.0
2022-02-14,2022-02-15,1.0,看多,-0.0002012740665595647,-0.0009844111541446043,0.0007831370875850396,0.00012175,-0.00032302406655951613,-0.3799999999999984,-1.2700000000000211,0.8900000000000228,否,其他,否,是,其他,0.0,100.0
2022-02-15,2022-02-16,1.0,看多,-0.001203941309134815,0.0005420394585440302,-0.0017459807676788452,0.00012190079365079365,-0.0013258421027855997,-1.559999999999999,0.5000000000000143,-2.0600000000000134,否,其他,是,是,其他,0.0,100.0
2022-02-16,2022-02-17,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-02-17,2022-02-18,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-02-18,2022-02-21,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-02-21,2022-02-22,1.0,看多,-0.0013547387803960476,-0.0026901757816290006,0.001335437001232953,0.0001226547619047619,-0.0014773935423007896,-1.7400000000000055,-3.249999999999989,1.5099999999999834,否,其他,否,是,其他,0.0,100.0
2022-02-22,2022-02-23,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-02-23,2022-02-24,1.0,看多,-0.002225288735135167,0.0026946349486647314,-0.004919923683799898,0.00012365079365079365,-0.002348939528785964,-2.7699999999999947,2.999999999999982,-5.7699999999999765,否,其他,是,是,其他,0.0,100.0
2022-02-24,2022-02-25,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-02-25,2022-02-28,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-02-28,2022-03-01,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-01,2022-03-02,1.0,看多,0.000929201575309957,-0.0022628544392233607,0.0031920560145333177,0.00012498015873015875,0.0008042214165797642,0.950000000000048,-2.7500000000000093,3.7000000000000575,是,其他,否,否,其他,0.0,100.0
2022-03-02,2022-03-03,1.0,看多,0.0005819604455770122,-0.0011813140365504182,0.0017632744821274304,0.0001246031746031746,0.00045735727097390996,0.5399999999999849,-1.4999999999999736,2.0399999999999583,是,其他,否,否,其他,0.0,100.0
2022-03-03,2022-03-04,1.0,看多,-0.0015445765002328748,-0.0009644699506606846,-0.0005801065495721902,0.0001243888888888889,-0.0016689653891217523,-1.9700000000000273,-1.250000000000001,-0.7200000000000262,否,该空没空,否,是,该空没空,0.0,100.0
2022-03-04,2022-03-07,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-07,2022-03-08,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-08,2022-03-09,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-09,2022-03-10,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-10,2022-03-11,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-11,2022-03-14,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-14,2022-03-15,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-15,2022-03-16,1.0,看多,-0.0006887600527578641,-0.004206284715614128,0.003517524662856264,0.0001244642857142857,-0.0008132243384721718,-0.960000000000058,-4.999999999998998,4.03999999999894,否,其他,否,是,其他,0.0,100.0
2022-03-16,2022-03-17,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-17,2022-03-18,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-18,2022-03-21,1.0,看多,-0.0010350384192950868,-0.00032917523651199154,-0.0007058631827830952,0.00012488095238095238,-0.0011599193716759978,-1.369999999999011,-0.5100000000009958,-0.8599999999980151,否,该空没空,否,是,该空没空,0.0,100.0
2022-03-21,2022-03-22,1.0,看多,-0.0002637662119071571,-0.001613410858459452,0.0013496446465522949,0.00012542460317460278,-0.00038919081508173483,-0.46000000000101515,-1.999999999999988,1.5399999999989729,否,其他,否,是,其他,0.0,100.0
2022-03-22,2022-03-23,1.0,看多,4.947891516016156e-05,-0.0013955414839498248,0.0014450203991099864,0.00012560714285714286,-7.612822769693859e-05,-0.08999999999897978,-1.7500000000000155,1.6600000000010358,否,其他,否,否,其他,0.0,100.0
2022-03-23,2022-03-24,1.0,看多,0.000641599465882825,0.00011230952380958392,0.0005292899420732411,0.00012564285714285675,0.0005159566087400393,0.6099999999990141,0.0,0.6099999999990141,是,其他,是,否,有效进攻,0.0,100.0
2022-03-24,2022-03-25,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-25,2022-03-28,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-28,2022-03-29,1.0,看多,-0.00022256355575955844,0.00070572284470094,-0.0009282864004604985,0.0001246626984126984,-0.00034722625417221947,-0.4099999999999937,0.6900000000010023,-1.100000000000996,否,其他,是,是,其他,0.0,100.0
2022-03-29,2022-03-30,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-03-30,2022-03-31,1.0,看多,0.0005482981804485476,0.0014041930262373992,-0.0008558948457888516,0.0001250753968253968,0.00042322278362316365,0.5000000000000143,1.5000000000000082,-0.9999999999999939,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-03-31,2022-04-01,1.0,看多,0.0012086027834805613,-0.001400505802182983,0.0026091085856635443,0.00012487698412698412,0.0010837257993535849,1.2799999999999616,-1.7500000000000155,3.029999999999977,是,其他,否,否,其他,0.0,100.0
2022-04-01,2022-04-02,1.0,看多,0.0011240793241378277,0.0012747763792380074,-0.0001506970551001796,0.0001243690476190476,0.0009997102765186743,1.1800000000000006,1.349999999999997,-0.16999999999999638,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-04-06,2022-04-07,1.0,看多,0.00033583099832545926,0.0013095645949208201,-0.0009737335965953609,0.00012390079365079366,0.00021193020467461725,0.25000000000000716,1.3900000000000023,-1.1399999999999952,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-04-07,2022-04-08,1.0,看多,0.0016329365962897135,0.00192298704377869,-0.00029005044748897646,0.0001238015873015873,0.0015091350089881507,1.7800000000000107,2.10000000000099,-0.3200000000009793,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-04-08,2022-04-11,1.0,看多,-0.00020785761306896244,-0.0010583391087055638,0.0008504814956366014,0.0001230952380952381,-0.00033095285116417096,-0.3900000000000084,-1.349999999999997,0.9599999999999886,否,其他,否,是,其他,0.0,100.0
2022-04-11,2022-04-12,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-04-12,2022-04-13,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-04-13,2022-04-14,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-04-14,2022-04-15,1.0,看多,0.0023528315399639066,-0.00010620984302400771,0.0024590413829879143,0.00012421031746031748,0.0022286212225036336,2.6300000000000283,-0.25000000000000716,2.8800000000000354,是,其他,否,否,其他,0.0,100.0
