signal_date,总分_raw,总分,仓位,结论,供给|发行量_得分,供给|发行量_乘数,供给|发行占比_得分,供给|发行占比_乘数,供给|10Y以上发行_得分,供给|10Y以上发行_乘数,需求|银行总净买入_得分,需求|银行总净买入_乘数,估值|地方债-国债利差_得分,估值|地方债-国债利差_乘数,估值|地方债-国债利差变化_得分,估值|地方债-国债利差变化_乘数,估值|地方债-NCD利差_得分,估值|地方债-NCD利差_乘数,供给|发行量变化_得分,供给|发行量变化_乘数,需求|银行总净买入变化_得分,需求|银行总净买入变化_乘数,估值|地方债-NCD利差变化_得分,估值|地方债-NCD利差变化_乘数,估值|地方债-国债利差变化加速度_得分,估值|地方债-国债利差变化加速度_乘数,供需交互|供给×银行承接_得分,供需交互|供给×银行承接_乘数,供需交互|供给×非银承接_得分,供需交互|供给×非银承接_乘数,supply_observed_at,bank_observed_at,valuation_observed_at,sentiment_observed_at,supply_amount_raw,supply_ratio_raw,supply_long_raw,bank_demand_raw,spread_gov_raw,nonbank_sentiment_raw,spread_ncd_raw,spread_change_raw,supply_amount_change_raw,bank_demand_change_raw,nonbank_sentiment_change_raw,spread_ncd_change_raw,spread_change_acceleration_raw
2022-01-17,47.5,47.5,0.0,中性,0.0,0.0,2.5,0.5,17.5,0.5,0.0,0.0,0.0,0.0,22.5,0.5,0.0,0.0,2.5,0.5,2.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,2022-01-16,2022-01-14,2022-01-14,2022-01-16,1960.224,0.5429646470689907,438.465,-26.74,33.15000000000001,0.259396,51.500000000000014,-1.5400000000000065,,,,,
2022-01-24,50.0,50.0,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,45.0,1.0,0.0,0.5,2.5,0.5,2.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2022-01-23,2022-01-21,2022-01-21,2022-01-23,4462.3372,0.802241403128167,2580.8094,-12.69,29.999999999999982,0.52866,54.99999999999999,-3.1500000000000306,2502.1132,14.049999999999999,0.269264,3.4999999999999787,-1.610000000000024
2022-02-14,60.0,60.0,0.0,中性,0.0,1.0,5.0,1.0,17.5,0.5,0.0,1.0,0.0,0.5,22.5,0.5,0.0,1.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,5.0,1.0,2022-02-13,2022-02-11,2022-02-11,2022-02-13,537.3735,0.2117833657520266,331.527,15.03,30.57000000000003,0.888464,63.98000000000002,-0.7099999999999902,-3924.9637,27.72,0.359804,8.980000000000025,2.4400000000000404
2022-02-21,25.0,25.0,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,22.5,0.5,0.0,0.5,2.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,2022-02-20,2022-02-18,2022-02-18,2022-02-20,2558.1437,0.7617731486594811,1350.7526,2.369999999999999,28.29999999999999,0.311585,60.04999999999998,-2.2700000000000387,2020.7702,-12.66,-0.576879,-3.9300000000000352,-1.5600000000000485
2022-02-28,25.0,25.0,0.0,中性,0.0,0.5,2.5,0.5,17.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2.5,0.5,2.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-27,2022-02-25,2022-02-25,2022-02-27,1237.22,0.673419623126245,657.4399999999999,-6.820000000000001,34.920000000000016,-0.027697,59.42000000000003,6.620000000000026,-1320.9237,-9.190000000000001,-0.339282,-0.6299999999999528,8.890000000000065
2022-03-07,35.0,35.0,0.0,中性,0.0,0.5,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,22.5,0.5,0.0,0.0,2.5,0.5,5.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,2022-03-06,2022-03-04,2022-03-04,2022-03-06,1350.6348,0.396006866522326,787.749,17.78,32.920000000000016,-0.057947,56.67,-2.0,113.41480000000001,24.6,-0.03025,-2.7500000000000284,-8.620000000000026
2022-03-14,5.0,5.0,0.0,看空,0.0,0.5,2.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-13,2022-03-11,2022-03-11,2022-03-13,2070.5023,0.5241111491062795,886.3181000000001,-12.55,36.92999999999999,-0.38269,54.95000000000001,4.009999999999977,719.8675000000001,-30.330000000000002,-0.324743,-1.7199999999999918,6.009999999999977
2022-03-21,30.0,30.0,0.0,中性,0.0,0.5,2.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,22.5,0.5,0.0,0.0,2.5,0.5,2.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2022-03-20,2022-03-18,2022-03-18,2022-03-20,1731.0962,0.4958603546931763,1080.576,-22.37,36.140000000000015,-0.7804849999999999,56.410000000000025,-0.7899999999999778,-339.40610000000015,-9.82,-0.3977949999999999,1.460000000000015,-4.7999999999999545
2022-03-28,47.5,47.5,0.0,中性,0.0,0.5,0.0,0.0,17.5,0.5,0.0,0.5,0.0,0.5,22.5,0.5,0.0,0.0,5.0,1.0,2.5,0.5,0.0,0.5,0.0,0.5,0.0,0.25,0.0,0.0,2022-03-27,2022-03-25,2022-03-25,2022-03-27,1034.4352,1.0,614.2331,-10.05,34.220000000000006,-0.497478,53.94000000000001,-1.9200000000000088,-696.6610000000001,12.32,0.2830069999999999,-2.470000000000013,-1.130000000000031
2022-04-04,70.0,70.0,1.0,看多,0.0,1.0,5.0,1.0,35.0,1.0,0.0,1.0,0.0,0.5,22.5,0.5,0.0,0.5,2.5,0.5,5.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,2022-04-03,2022-04-02,2022-04-02,2022-04-03,346.5442,0.1983830040481,2.9,10.15,33.530000000000015,-0.073156,59.16999999999999,-0.6899999999999906,-687.8909999999998,20.200000000000003,0.424322,5.229999999999976,1.2300000000000182
