日期,信号日期,总分,结论,目标仓位,仓位,止盈止损事件,条件基准仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2022-03-10,2022-03-10,40.0,中性,0.0,0.0,,0.0,3.1648,2.8502,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-6.900000000001002,-7.609999999999977,0.7099999999989748,0.0007276230158730155,-0.005880145813641576,0.0006581190476190476,-0.0065745429124553865,0.9948492249450301,0.9940883528534111,1.0007653968477097
2022-03-11,2022-03-11,22.5,看空,0.0,0.0,,0.0,3.1753,2.7902,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-6.900000000001002,-7.609999999999977,0.7099999999989748,0.0007276230158730155,-0.005880145813641576,0.0006581190476190476,-0.0065745429124553865,0.9948492249450301,0.9940883528534111,1.0007653968477097
2022-03-14,2022-03-14,30.0,中性,0.0,0.0,,0.0,3.1365,2.7677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.900000000001002,-7.609999999999977,0.7099999999989748,0.0007276230158730155,-0.005880145813641576,0.0006581190476190476,-0.0065745429124553865,0.9948492249450301,0.9940883528534111,1.0007653968477097
2022-03-15,2022-03-15,40.0,中性,0.0,0.0,,0.0,3.1461,2.8177,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-6.900000000001002,-7.609999999999977,0.7099999999989748,0.0007276230158730155,-0.005880145813641576,0.0006581190476190476,-0.0065745429124553865,0.9948492249450301,0.9940883528534111,1.0007653968477097
2022-03-16,2022-03-16,37.5,中性,0.0,0.0,,0.0,3.1648,2.7952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-6.900000000001002,-7.609999999999977,0.7099999999989748,0.0007276230158730155,-0.005880145813641576,0.0006581190476190476,-0.0065745429124553865,0.9948492249450301,0.9940883528534111,1.0007653968477097
2022-03-17,2022-03-17,22.5,看空,0.0,0.0,,0.0,3.147,2.7876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.900000000001002,-7.609999999999977,0.7099999999989748,0.0007276230158730155,-0.005880145813641576,0.0006581190476190476,-0.0065745429124553865,0.9948492249450301,0.9940883528534111,1.0007653968477097
2022-03-18,2022-03-18,27.5,看空,0.0,0.0,,0.0,3.1607,2.7927,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-6.900000000001002,-7.609999999999977,0.7099999999989748,0.0007276230158730155,-0.005880145813641576,0.0006581190476190476,-0.0065745429124553865,0.9948492249450301,0.9940883528534111,1.0007653968477097
2022-03-21,2022-03-21,27.5,看空,0.0,0.0,,0.0,3.1653,2.8127,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-6.900000000001002,-7.609999999999977,0.7099999999989748,0.0007276230158730155,-0.005880145813641576,0.0006581190476190476,-0.0065745429124553865,0.9948492249450301,0.9940883528534111,1.0007653968477097
2022-03-22,2022-03-22,30.0,中性,0.0,0.0,,0.0,3.1662,2.8302,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-6.900000000001002,-7.609999999999977,0.7099999999989748,0.0007276230158730155,-0.005880145813641576,0.0006581190476190476,-0.0065745429124553865,0.9948492249450301,0.9940883528534111,1.0007653968477097
2022-03-23,2022-03-23,27.5,看空,0.0,0.0,,0.0,3.1601,2.8302,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-6.900000000001002,-7.609999999999977,0.7099999999989748,0.0007276230158730155,-0.005880145813641576,0.0006581190476190476,-0.0065745429124553865,0.9948492249450301,0.9940883528534111,1.0007653968477097
